2026-04-10 02:16:05 | INFO     | hf_rubert_baseline | Log file: C:\Users\Meric\Desktop\VKR\Code\results\logs\2026-04-10_02-16-05_hf_rubert_baseline.log
2026-04-10 02:16:05 | INFO     | hf_rubert_baseline | ============================================================
2026-04-10 02:16:05 | INFO     | hf_rubert_baseline | Training: hf_rubert_baseline
2026-04-10 02:16:05 | INFO     | hf_rubert_baseline | Device: cuda | Seed: 42 | Dry run: False
2026-04-10 02:16:05 | INFO     | hf_rubert_baseline | Epochs: 30 | Batch: 32 | LR: 2.00e-05
2026-04-10 02:16:05 | INFO     | hf_rubert_baseline | Freeze BERT: False
2026-04-10 02:16:05 | INFO     | hf_rubert_baseline | ============================================================
2026-04-10 02:16:09 | INFO     | hf_rubert_baseline | Dataset: 179590 samples (text required)
2026-04-10 02:16:09 | INFO     | hf_rubert_baseline | Train: 161631 | Val: 17959
2026-04-10 02:16:10 | INFO     | hf_rubert_baseline | Class weights: [1.1833072900772095, 1.0306731462478638, 0.20952686667442322, 1.5764926671981812]
2026-04-10 02:16:16 | INFO     | hf_rubert_baseline | Total params: 178,571,524 | Trainable: 178,571,524
2026-04-10 02:17:44 | DEBUG    | hf_rubert_baseline |   batch 50 | loss 1.3337 | lr 8.01e-07 | GPU 2.88 GB
2026-04-10 02:17:55 | DEBUG    | hf_rubert_baseline |   batch 100 | loss 1.3773 | lr 8.02e-07 | GPU 2.88 GB
2026-04-10 02:18:06 | DEBUG    | hf_rubert_baseline |   batch 150 | loss 1.3754 | lr 8.05e-07 | GPU 2.88 GB
2026-04-10 02:18:19 | DEBUG    | hf_rubert_baseline |   batch 200 | loss 1.4109 | lr 8.08e-07 | GPU 2.88 GB
2026-04-10 02:18:32 | DEBUG    | hf_rubert_baseline |   batch 250 | loss 1.4409 | lr 8.13e-07 | GPU 2.87 GB
2026-04-10 02:18:43 | DEBUG    | hf_rubert_baseline |   batch 300 | loss 1.2880 | lr 8.19e-07 | GPU 2.87 GB
2026-04-10 02:18:58 | DEBUG    | hf_rubert_baseline |   batch 350 | loss 1.3592 | lr 8.25e-07 | GPU 2.88 GB
2026-04-10 02:19:15 | DEBUG    | hf_rubert_baseline |   batch 400 | loss 1.3575 | lr 8.33e-07 | GPU 2.87 GB
2026-04-10 02:19:27 | DEBUG    | hf_rubert_baseline |   batch 450 | loss 1.3602 | lr 8.42e-07 | GPU 2.87 GB
2026-04-10 02:19:36 | DEBUG    | hf_rubert_baseline |   batch 500 | loss 1.2950 | lr 8.52e-07 | GPU 2.88 GB
2026-04-10 02:19:49 | DEBUG    | hf_rubert_baseline |   batch 550 | loss 1.3578 | lr 8.62e-07 | GPU 2.87 GB
2026-04-10 02:20:02 | DEBUG    | hf_rubert_baseline |   batch 600 | loss 1.1905 | lr 8.74e-07 | GPU 2.87 GB
2026-04-10 02:20:13 | DEBUG    | hf_rubert_baseline |   batch 650 | loss 1.2278 | lr 8.87e-07 | GPU 2.88 GB
2026-04-10 02:20:26 | DEBUG    | hf_rubert_baseline |   batch 700 | loss 1.3374 | lr 9.01e-07 | GPU 2.88 GB
2026-04-10 02:20:37 | DEBUG    | hf_rubert_baseline |   batch 750 | loss 1.3380 | lr 9.16e-07 | GPU 2.88 GB
2026-04-10 02:20:50 | DEBUG    | hf_rubert_baseline |   batch 800 | loss 1.2156 | lr 9.32e-07 | GPU 2.88 GB
2026-04-10 02:21:06 | DEBUG    | hf_rubert_baseline |   batch 850 | loss 1.2901 | lr 9.49e-07 | GPU 2.87 GB
