2026-04-10 17:02:55 | INFO     | hf_rubert_baseline | Log file: C:\Users\Meric\Desktop\VKR\Code\results\logs\2026-04-10_17-02-55_hf_rubert_baseline.log
2026-04-10 17:02:55 | INFO     | hf_rubert_baseline | ============================================================
2026-04-10 17:02:55 | INFO     | hf_rubert_baseline | Training: hf_rubert_baseline
2026-04-10 17:02:55 | INFO     | hf_rubert_baseline | Device: cuda | Seed: 42 | Dry run: False
2026-04-10 17:02:55 | INFO     | hf_rubert_baseline | Epochs: 30 | Batch: 32 | LR: 2.00e-05
2026-04-10 17:02:55 | INFO     | hf_rubert_baseline | Freeze BERT: False
2026-04-10 17:02:55 | INFO     | hf_rubert_baseline | ============================================================
2026-04-10 17:02:58 | INFO     | hf_rubert_baseline | Dataset: 179590 samples (text required)
2026-04-10 17:02:58 | INFO     | hf_rubert_baseline | Train: 161631 | Val: 17959
2026-04-10 17:02:58 | INFO     | hf_rubert_baseline | Class weights (sqrt_inverse): [1.1401475667953491, 1.06407630443573, 0.4797689616680145, 1.3160072565078735]
2026-04-10 17:03:04 | INFO     | hf_rubert_baseline | Total params: 178,571,524 | Trainable: 178,571,524
2026-04-10 17:04:04 | DEBUG    | hf_rubert_baseline |   batch 50 | loss 1.2486 | lr 8.01e-07 | GPU 2.88 GB
2026-04-10 17:04:08 | DEBUG    | hf_rubert_baseline |   batch 100 | loss 1.2509 | lr 8.02e-07 | GPU 2.88 GB
2026-04-10 17:04:13 | DEBUG    | hf_rubert_baseline |   batch 150 | loss 1.3141 | lr 8.05e-07 | GPU 2.88 GB
2026-04-10 17:04:17 | DEBUG    | hf_rubert_baseline |   batch 200 | loss 1.3066 | lr 8.08e-07 | GPU 2.88 GB
2026-04-10 17:04:22 | DEBUG    | hf_rubert_baseline |   batch 250 | loss 1.3500 | lr 8.13e-07 | GPU 2.87 GB
2026-04-10 17:04:26 | DEBUG    | hf_rubert_baseline |   batch 300 | loss 1.1741 | lr 8.19e-07 | GPU 2.87 GB
2026-04-10 17:04:31 | DEBUG    | hf_rubert_baseline |   batch 350 | loss 1.2772 | lr 8.25e-07 | GPU 2.88 GB
2026-04-10 17:04:35 | DEBUG    | hf_rubert_baseline |   batch 400 | loss 1.3245 | lr 8.33e-07 | GPU 2.87 GB
2026-04-10 17:04:40 | DEBUG    | hf_rubert_baseline |   batch 450 | loss 1.3381 | lr 8.42e-07 | GPU 2.87 GB
2026-04-10 17:04:44 | DEBUG    | hf_rubert_baseline |   batch 500 | loss 1.2322 | lr 8.52e-07 | GPU 2.88 GB
2026-04-10 17:04:49 | DEBUG    | hf_rubert_baseline |   batch 550 | loss 1.1639 | lr 8.62e-07 | GPU 2.87 GB
