2026-04-10 19:08:27 | INFO     | coda_base | Log file: C:\Users\Meric\Desktop\VKR\Code\results\logs\2026-04-10_19-08-27_coda_base.log
2026-04-10 19:08:27 | INFO     | coda_base | ============================================================
2026-04-10 19:08:27 | INFO     | coda_base | Training: CODA-BASE
2026-04-10 19:08:27 | INFO     | coda_base | Device: cuda | Seed: 42 | Dry run: False
2026-04-10 19:08:27 | INFO     | coda_base | Epochs: 30 | Batch: 16 | LR: 1.00e-04
2026-04-10 19:08:27 | INFO     | coda_base | Freeze BERT: True | Prosodic: True | AMP: True
2026-04-10 19:08:27 | INFO     | coda_base | ============================================================
2026-04-10 19:08:31 | INFO     | coda_base | Dataset: 179590 samples
2026-04-10 19:08:31 | INFO     | coda_base | Train: 161631 | Val: 17959
2026-04-10 19:08:31 | INFO     | coda_base | Class weights (sqrt_inverse): ['1.140', '1.064', '0.480', '1.316']
2026-04-10 19:08:36 | INFO     | coda_base | Total params: 178,907,846 | Trainable: 600,518
2026-04-10 19:09:36 | DEBUG    | coda_base |   batch 50 | loss 2.2582 | grad 1.4995 | lr 4.00e-06 | GPU 0.76 GB
2026-04-10 19:09:40 | DEBUG    | coda_base |   batch 100 | loss 2.8516 | grad 1.5093 | lr 4.00e-06 | GPU 0.77 GB
2026-04-10 19:09:43 | DEBUG    | coda_base |   batch 150 | loss 2.0174 | grad 1.5042 | lr 4.01e-06 | GPU 0.76 GB
2026-04-10 19:09:46 | DEBUG    | coda_base |   batch 200 | loss 1.6525 | grad 1.5044 | lr 4.01e-06 | GPU 0.76 GB
2026-04-10 19:09:50 | DEBUG    | coda_base |   batch 250 | loss 2.3504 | grad 1.5182 | lr 4.02e-06 | GPU 0.76 GB
2026-04-10 19:09:54 | DEBUG    | coda_base |   batch 300 | loss 2.1496 | grad 1.5291 | lr 4.02e-06 | GPU 0.76 GB
2026-04-10 19:09:58 | DEBUG    | coda_base |   batch 350 | loss 0.9837 | grad 1.5018 | lr 4.03e-06 | GPU 0.77 GB
2026-04-10 19:10:01 | DEBUG    | coda_base |   batch 400 | loss 1.8466 | grad 1.5136 | lr 4.04e-06 | GPU 0.76 GB
2026-04-10 19:10:05 | DEBUG    | coda_base |   batch 450 | loss 2.3672 | grad 1.5024 | lr 4.05e-06 | GPU 0.76 GB
2026-04-10 19:10:08 | DEBUG    | coda_base |   batch 500 | loss 1.1447 | grad 1.5170 | lr 4.06e-06 | GPU 0.77 GB
2026-04-10 19:10:12 | DEBUG    | coda_base |   batch 550 | loss 2.8862 | grad 1.4806 | lr 4.08e-06 | GPU 0.76 GB
2026-04-10 19:10:15 | DEBUG    | coda_base |   batch 600 | loss 1.2847 | grad 1.4866 | lr 4.09e-06 | GPU 0.76 GB
2026-04-10 19:10:19 | DEBUG    | coda_base |   batch 650 | loss 1.2658 | grad 1.5112 | lr 4.11e-06 | GPU 0.76 GB
2026-04-10 19:10:23 | DEBUG    | coda_base |   batch 700 | loss 1.8217 | grad 1.5185 | lr 4.13e-06 | GPU 0.76 GB
2026-04-10 19:10:26 | DEBUG    | coda_base |   batch 750 | loss 0.9032 | grad 1.5346 | lr 4.15e-06 | GPU 0.76 GB
2026-04-10 19:10:29 | DEBUG    | coda_base |   batch 800 | loss 1.4304 | grad 1.5026 | lr 4.16e-06 | GPU 0.76 GB
2026-04-10 19:10:33 | DEBUG    | coda_base |   batch 850 | loss 1.7805 | grad 1.5077 | lr 4.19e-06 | GPU 0.76 GB
2026-04-10 19:10:37 | DEBUG    | coda_base |   batch 900 | loss 1.3264 | grad 1.5267 | lr 4.21e-06 | GPU 0.77 GB
2026-04-10 19:10:40 | DEBUG    | coda_base |   batch 950 | loss 2.2754 | grad 1.5400 | lr 4.23e-06 | GPU 0.76 GB
2026-04-10 19:10:44 | DEBUG    | coda_base |   batch 1000 | loss 1.7796 | grad 1.5280 | lr 4.26e-06 | GPU 0.76 GB
2026-04-10 19:10:47 | DEBUG    | coda_base |   batch 1050 | loss 1.6476 | grad 1.5172 | lr 4.28e-06 | GPU 0.76 GB
2026-04-10 19:10:51 | DEBUG    | coda_base |   batch 1100 | loss 1.5137 | grad 1.4848 | lr 4.31e-06 | GPU 0.77 GB
2026-04-10 19:10:54 | DEBUG    | coda_base |   batch 1150 | loss 1.2381 | grad 1.5260 | lr 4.34e-06 | GPU 0.76 GB
2026-04-10 19:10:57 | DEBUG    | coda_base |   batch 1200 | loss 1.4420 | grad 1.5250 | lr 4.37e-06 | GPU 0.76 GB
2026-04-10 19:11:01 | DEBUG    | coda_base |   batch 1250 | loss 1.3234 | grad 1.5008 | lr 4.40e-06 | GPU 0.76 GB
2026-04-10 19:11:05 | DEBUG    | coda_base |   batch 1300 | loss 2.6829 | grad 1.5082 | lr 4.44e-06 | GPU 0.77 GB
2026-04-10 19:11:08 | DEBUG    | coda_base |   batch 1350 | loss 1.4338 | grad 1.5074 | lr 4.47e-06 | GPU 0.76 GB
2026-04-10 19:11:11 | DEBUG    | coda_base |   batch 1400 | loss 1.7948 | grad 1.5017 | lr 4.50e-06 | GPU 0.76 GB
2026-04-10 19:11:15 | DEBUG    | coda_base |   batch 1450 | loss 1.3216 | grad 1.5222 | lr 4.54e-06 | GPU 0.76 GB
2026-04-10 19:11:19 | DEBUG    | coda_base |   batch 1500 | loss 1.7131 | grad 1.5123 | lr 4.58e-06 | GPU 0.76 GB
2026-04-10 19:11:22 | DEBUG    | coda_base |   batch 1550 | loss 2.0452 | grad 1.5030 | lr 4.62e-06 | GPU 0.76 GB
2026-04-10 19:11:26 | DEBUG    | coda_base |   batch 1600 | loss 1.5981 | grad 1.5054 | lr 4.66e-06 | GPU 0.76 GB
2026-04-10 19:11:29 | DEBUG    | coda_base |   batch 1650 | loss 1.3729 | grad 1.4898 | lr 4.70e-06 | GPU 0.77 GB
2026-04-10 19:11:33 | DEBUG    | coda_base |   batch 1700 | loss 1.5678 | grad 1.5112 | lr 4.74e-06 | GPU 0.76 GB
2026-04-10 19:11:36 | DEBUG    | coda_base |   batch 1750 | loss 1.5181 | grad 1.5462 | lr 4.79e-06 | GPU 0.76 GB
2026-04-10 19:11:40 | DEBUG    | coda_base |   batch 1800 | loss 1.3342 | grad 1.5028 | lr 4.83e-06 | GPU 0.76 GB
2026-04-10 19:11:44 | DEBUG    | coda_base |   batch 1850 | loss 1.8662 | grad 1.5230 | lr 4.88e-06 | GPU 0.76 GB
2026-04-10 19:11:47 | DEBUG    | coda_base |   batch 1900 | loss 1.4408 | grad 1.4872 | lr 4.93e-06 | GPU 0.76 GB
2026-04-10 19:11:51 | DEBUG    | coda_base |   batch 1950 | loss 2.0655 | grad 1.5123 | lr 4.98e-06 | GPU 0.76 GB
2026-04-10 19:11:54 | DEBUG    | coda_base |   batch 2000 | loss 1.3070 | grad 1.4876 | lr 5.03e-06 | GPU 0.76 GB
2026-04-10 19:11:58 | DEBUG    | coda_base |   batch 2050 | loss 1.0796 | grad 1.5303 | lr 5.08e-06 | GPU 0.76 GB
2026-04-10 19:12:01 | DEBUG    | coda_base |   batch 2100 | loss 2.0402 | grad 1.5027 | lr 5.13e-06 | GPU 0.77 GB
2026-04-10 19:12:05 | DEBUG    | coda_base |   batch 2150 | loss 1.5204 | grad 1.5082 | lr 5.19e-06 | GPU 0.76 GB
2026-04-10 19:12:08 | DEBUG    | coda_base |   batch 2200 | loss 1.4094 | grad 1.4962 | lr 5.24e-06 | GPU 0.76 GB
2026-04-10 19:12:12 | DEBUG    | coda_base |   batch 2250 | loss 1.5080 | grad 1.5312 | lr 5.30e-06 | GPU 0.76 GB
2026-04-10 19:12:15 | DEBUG    | coda_base |   batch 2300 | loss 1.7313 | grad 1.5290 | lr 5.36e-06 | GPU 0.76 GB
2026-04-10 19:12:19 | DEBUG    | coda_base |   batch 2350 | loss 1.7511 | grad 1.5066 | lr 5.42e-06 | GPU 0.76 GB
2026-04-10 19:12:22 | DEBUG    | coda_base |   batch 2400 | loss 1.6029 | grad 1.4826 | lr 5.48e-06 | GPU 0.76 GB
2026-04-10 19:12:26 | DEBUG    | coda_base |   batch 2450 | loss 1.1931 | grad 1.5286 | lr 5.54e-06 | GPU 0.76 GB
2026-04-10 19:12:29 | DEBUG    | coda_base |   batch 2500 | loss 1.6951 | grad 1.4956 | lr 5.60e-06 | GPU 0.76 GB
2026-04-10 19:12:33 | DEBUG    | coda_base |   batch 2550 | loss 1.1735 | grad 1.5195 | lr 5.67e-06 | GPU 0.77 GB
2026-04-10 19:12:36 | DEBUG    | coda_base |   batch 2600 | loss 1.0121 | grad 1.5101 | lr 5.73e-06 | GPU 0.76 GB
2026-04-10 19:12:40 | DEBUG    | coda_base |   batch 2650 | loss 1.6805 | grad 1.4922 | lr 5.80e-06 | GPU 0.76 GB
2026-04-10 19:12:44 | DEBUG    | coda_base |   batch 2700 | loss 1.8104 | grad 1.5019 | lr 5.87e-06 | GPU 0.76 GB
2026-04-10 19:12:47 | DEBUG    | coda_base |   batch 2750 | loss 1.2264 | grad 1.5193 | lr 5.94e-06 | GPU 0.76 GB
2026-04-10 19:12:51 | DEBUG    | coda_base |   batch 2800 | loss 2.0516 | grad 1.5125 | lr 6.01e-06 | GPU 0.76 GB
2026-04-10 19:12:54 | DEBUG    | coda_base |   batch 2850 | loss 1.5778 | grad 1.5141 | lr 6.08e-06 | GPU 0.76 GB
2026-04-10 19:12:58 | DEBUG    | coda_base |   batch 2900 | loss 1.8261 | grad 1.5024 | lr 6.15e-06 | GPU 0.77 GB
2026-04-10 19:13:01 | DEBUG    | coda_base |   batch 2950 | loss 1.3610 | grad 1.5220 | lr 6.23e-06 | GPU 0.76 GB
2026-04-10 19:13:05 | DEBUG    | coda_base |   batch 3000 | loss 1.7364 | grad 1.5342 | lr 6.30e-06 | GPU 0.76 GB
2026-04-10 19:13:09 | DEBUG    | coda_base |   batch 3050 | loss 1.3570 | grad 1.5005 | lr 6.38e-06 | GPU 0.76 GB
2026-04-10 19:13:12 | DEBUG    | coda_base |   batch 3100 | loss 1.0178 | grad 1.4578 | lr 6.46e-06 | GPU 0.76 GB
2026-04-10 19:13:15 | DEBUG    | coda_base |   batch 3150 | loss 2.2046 | grad 1.4685 | lr 6.54e-06 | GPU 0.77 GB
2026-04-10 19:13:19 | DEBUG    | coda_base |   batch 3200 | loss 1.4535 | grad 1.5372 | lr 6.62e-06 | GPU 0.76 GB
2026-04-10 19:13:23 | DEBUG    | coda_base |   batch 3250 | loss 1.5658 | grad 1.4846 | lr 6.70e-06 | GPU 0.76 GB
2026-04-10 19:13:26 | DEBUG    | coda_base |   batch 3300 | loss 1.6924 | grad 1.4891 | lr 6.78e-06 | GPU 0.76 GB
2026-04-10 19:13:30 | DEBUG    | coda_base |   batch 3350 | loss 1.4129 | grad 1.5025 | lr 6.87e-06 | GPU 0.76 GB
2026-04-10 19:13:33 | DEBUG    | coda_base |   batch 3400 | loss 0.9145 | grad 1.4824 | lr 6.95e-06 | GPU 0.76 GB
2026-04-10 19:13:37 | DEBUG    | coda_base |   batch 3450 | loss 1.2320 | grad 1.4826 | lr 7.04e-06 | GPU 0.76 GB
2026-04-10 19:13:40 | DEBUG    | coda_base |   batch 3500 | loss 1.2614 | grad 1.4826 | lr 7.12e-06 | GPU 0.75 GB
2026-04-10 19:13:44 | DEBUG    | coda_base |   batch 3550 | loss 1.5919 | grad 1.4831 | lr 7.21e-06 | GPU 0.76 GB
2026-04-10 19:13:47 | DEBUG    | coda_base |   batch 3600 | loss 1.4513 | grad 1.5049 | lr 7.30e-06 | GPU 0.77 GB
2026-04-10 19:13:51 | DEBUG    | coda_base |   batch 3650 | loss 1.3015 | grad 1.4944 | lr 7.40e-06 | GPU 0.76 GB
2026-04-10 19:13:55 | DEBUG    | coda_base |   batch 3700 | loss 1.8805 | grad 1.4667 | lr 7.49e-06 | GPU 0.76 GB
2026-04-10 19:13:58 | DEBUG    | coda_base |   batch 3750 | loss 1.2990 | grad 1.5130 | lr 7.58e-06 | GPU 0.76 GB
2026-04-10 19:14:02 | DEBUG    | coda_base |   batch 3800 | loss 1.3342 | grad 1.5222 | lr 7.68e-06 | GPU 0.76 GB
2026-04-10 19:14:06 | DEBUG    | coda_base |   batch 3850 | loss 1.4096 | grad 1.5039 | lr 7.77e-06 | GPU 0.76 GB
2026-04-10 19:14:09 | DEBUG    | coda_base |   batch 3900 | loss 1.3662 | grad 1.4997 | lr 7.87e-06 | GPU 0.76 GB
2026-04-10 19:14:12 | DEBUG    | coda_base |   batch 3950 | loss 1.3011 | grad 1.4909 | lr 7.97e-06 | GPU 0.76 GB
2026-04-10 19:14:16 | DEBUG    | coda_base |   batch 4000 | loss 1.2478 | grad 1.4704 | lr 8.07e-06 | GPU 0.76 GB
2026-04-10 19:14:20 | DEBUG    | coda_base |   batch 4050 | loss 1.2996 | grad 1.5106 | lr 8.17e-06 | GPU 0.76 GB
2026-04-10 19:14:23 | DEBUG    | coda_base |   batch 4100 | loss 1.0783 | grad 1.5107 | lr 8.27e-06 | GPU 0.76 GB
2026-04-10 19:14:26 | DEBUG    | coda_base |   batch 4150 | loss 1.6668 | grad 1.5276 | lr 8.37e-06 | GPU 0.76 GB
2026-04-10 19:14:30 | DEBUG    | coda_base |   batch 4200 | loss 1.3115 | grad 1.4723 | lr 8.48e-06 | GPU 0.76 GB
2026-04-10 19:14:34 | DEBUG    | coda_base |   batch 4250 | loss 1.4579 | grad 1.5283 | lr 8.58e-06 | GPU 0.76 GB
2026-04-10 19:14:37 | DEBUG    | coda_base |   batch 4300 | loss 1.4057 | grad 1.4726 | lr 8.69e-06 | GPU 0.76 GB
2026-04-10 19:14:41 | DEBUG    | coda_base |   batch 4350 | loss 0.9675 | grad 1.4882 | lr 8.80e-06 | GPU 0.76 GB
2026-04-10 19:14:44 | DEBUG    | coda_base |   batch 4400 | loss 1.0542 | grad 1.5225 | lr 8.91e-06 | GPU 0.77 GB
2026-04-10 19:14:48 | DEBUG    | coda_base |   batch 4450 | loss 0.9744 | grad 1.4875 | lr 9.02e-06 | GPU 0.76 GB
2026-04-10 19:14:51 | DEBUG    | coda_base |   batch 4500 | loss 1.2527 | grad 1.4916 | lr 9.13e-06 | GPU 0.76 GB
2026-04-10 19:14:55 | DEBUG    | coda_base |   batch 4550 | loss 1.3056 | grad 1.5245 | lr 9.24e-06 | GPU 0.76 GB
2026-04-10 19:14:58 | DEBUG    | coda_base |   batch 4600 | loss 0.7695 | grad 1.5052 | lr 9.35e-06 | GPU 0.76 GB
