2026-04-11 17:52:35 | INFO     | coda_uniattn | Log file: C:\Users\Meric\Desktop\VKR\Code\results\logs\2026-04-11_17-52-35_coda_uniattn.log
2026-04-11 17:52:35 | INFO     | coda_uniattn | ============================================================
2026-04-11 17:52:35 | INFO     | coda_uniattn | Training: CODA-UNIATTN
2026-04-11 17:52:35 | INFO     | coda_uniattn | Device: cuda | Seed: 42 | Dry run: False
2026-04-11 17:52:35 | INFO     | coda_uniattn | Epochs: 30 | Batch: 16 | LR: 1.00e-04
2026-04-11 17:52:35 | INFO     | coda_uniattn | Freeze BERT: True | Prosodic: True | AMP: True
2026-04-11 17:52:35 | INFO     | coda_uniattn | ============================================================
2026-04-11 17:52:39 | INFO     | coda_uniattn | Dataset: 179590 samples
2026-04-11 17:52:39 | INFO     | coda_uniattn | Train: 159512 | Val: 20078
2026-04-11 17:52:39 | INFO     | coda_uniattn | Class weights (sqrt_inverse): ['1.140', '1.064', '0.480', '1.316']
2026-04-11 17:52:47 | INFO     | coda_uniattn | Total params: 179,697,606 | Trainable: 1,390,278
2026-04-11 17:54:51 | DEBUG    | coda_uniattn |   batch 50 | loss 1.8141 | grad 1.6729 | lr 4.00e-06 | GPU 0.77 GB
2026-04-11 17:54:52 | DEBUG    | coda_uniattn |   batch 100 | loss 1.1430 | grad 1.6505 | lr 4.00e-06 | GPU 0.78 GB
2026-04-11 17:54:54 | DEBUG    | coda_uniattn |   batch 150 | loss 1.7654 | grad 1.6656 | lr 4.01e-06 | GPU 0.77 GB
2026-04-11 17:54:55 | DEBUG    | coda_uniattn |   batch 200 | loss 0.7356 | grad 1.7154 | lr 4.01e-06 | GPU 0.77 GB
2026-04-11 17:54:57 | DEBUG    | coda_uniattn |   batch 250 | loss 2.2722 | grad 1.6490 | lr 4.02e-06 | GPU 0.77 GB
2026-04-11 17:54:58 | DEBUG    | coda_uniattn |   batch 300 | loss 1.3570 | grad 1.6672 | lr 4.02e-06 | GPU 0.77 GB
2026-04-11 17:55:00 | DEBUG    | coda_uniattn |   batch 350 | loss 1.5809 | grad 1.6283 | lr 4.03e-06 | GPU 0.77 GB
2026-04-11 17:55:01 | DEBUG    | coda_uniattn |   batch 400 | loss 1.4607 | grad 1.6937 | lr 4.04e-06 | GPU 0.78 GB
2026-04-11 17:55:03 | DEBUG    | coda_uniattn |   batch 450 | loss 1.1348 | grad 1.6477 | lr 4.05e-06 | GPU 0.77 GB
2026-04-11 17:55:04 | DEBUG    | coda_uniattn |   batch 500 | loss 1.9539 | grad 1.6176 | lr 4.07e-06 | GPU 0.77 GB
2026-04-11 17:55:06 | DEBUG    | coda_uniattn |   batch 550 | loss 1.0446 | grad 1.6715 | lr 4.08e-06 | GPU 0.77 GB
2026-04-11 17:55:07 | DEBUG    | coda_uniattn |   batch 600 | loss 1.4174 | grad 1.6394 | lr 4.10e-06 | GPU 0.77 GB
