2026-04-11 19:20:57 | INFO     | coda_biattn | Log file: C:\Users\Meric\Desktop\VKR\Code\results\logs\2026-04-11_19-20-57_coda_biattn.log
2026-04-11 19:20:57 | INFO     | coda_biattn | ============================================================
2026-04-11 19:20:57 | INFO     | coda_biattn | Training: CODA-BIATTN
2026-04-11 19:20:57 | INFO     | coda_biattn | Device: cuda | Seed: 42 | Dry run: False
2026-04-11 19:20:57 | INFO     | coda_biattn | Epochs: 30 | Batch: 16 | LR: 1.00e-04
2026-04-11 19:20:57 | INFO     | coda_biattn | Freeze BERT: True | Prosodic: True | AMP: True
2026-04-11 19:20:57 | INFO     | coda_biattn | ============================================================
2026-04-11 19:21:01 | INFO     | coda_biattn | Dataset: 179590 samples
2026-04-11 19:21:01 | INFO     | coda_biattn | Train: 159512 | Val: 20078
2026-04-11 19:21:01 | INFO     | coda_biattn | Class weights (sqrt_inverse): ['1.140', '1.064', '0.480', '1.316']
2026-04-11 19:21:07 | INFO     | coda_biattn | Total params: 180,487,366 | Trainable: 2,180,038
2026-04-11 19:23:11 | DEBUG    | coda_biattn |   batch 50 | loss 4.2561 | grad 1.6190 | lr 4.00e-06 | GPU 0.79 GB
2026-04-11 19:23:13 | DEBUG    | coda_biattn |   batch 100 | loss 3.3686 | grad 1.6243 | lr 4.00e-06 | GPU 0.79 GB
2026-04-11 19:23:15 | DEBUG    | coda_biattn |   batch 150 | loss 2.9561 | grad 1.6265 | lr 4.01e-06 | GPU 0.79 GB
2026-04-11 19:23:17 | DEBUG    | coda_biattn |   batch 200 | loss 2.0097 | grad 1.6214 | lr 4.01e-06 | GPU 0.79 GB
2026-04-11 19:23:18 | DEBUG    | coda_biattn |   batch 250 | loss 1.9438 | grad 1.6598 | lr 4.02e-06 | GPU 0.79 GB
2026-04-11 19:23:20 | DEBUG    | coda_biattn |   batch 300 | loss 2.0442 | grad 1.6475 | lr 4.02e-06 | GPU 0.79 GB
2026-04-11 19:23:22 | DEBUG    | coda_biattn |   batch 350 | loss 1.6528 | grad 1.6591 | lr 4.03e-06 | GPU 0.79 GB
2026-04-11 19:23:24 | DEBUG    | coda_biattn |   batch 400 | loss 1.5999 | grad 1.6592 | lr 4.04e-06 | GPU 0.79 GB
2026-04-11 19:23:25 | DEBUG    | coda_biattn |   batch 450 | loss 3.2617 | grad 1.6302 | lr 4.05e-06 | GPU 0.79 GB
2026-04-11 19:23:27 | DEBUG    | coda_biattn |   batch 500 | loss 1.5114 | grad 1.6531 | lr 4.07e-06 | GPU 0.78 GB
2026-04-11 19:23:28 | DEBUG    | coda_biattn |   batch 550 | loss 1.9813 | grad 1.6634 | lr 4.08e-06 | GPU 0.79 GB
2026-04-11 19:23:30 | DEBUG    | coda_biattn |   batch 600 | loss 3.1176 | grad 1.6122 | lr 4.10e-06 | GPU 0.79 GB
2026-04-11 19:23:32 | DEBUG    | coda_biattn |   batch 650 | loss 1.9606 | grad 1.6407 | lr 4.11e-06 | GPU 0.79 GB
2026-04-11 19:23:34 | DEBUG    | coda_biattn |   batch 700 | loss 0.8876 | grad 1.6776 | lr 4.13e-06 | GPU 0.79 GB
2026-04-11 19:23:35 | DEBUG    | coda_biattn |   batch 750 | loss 1.3796 | grad 1.6496 | lr 4.15e-06 | GPU 0.79 GB
2026-04-11 19:23:37 | DEBUG    | coda_biattn |   batch 800 | loss 2.3048 | grad 1.6187 | lr 4.17e-06 | GPU 0.79 GB
2026-04-11 19:23:39 | DEBUG    | coda_biattn |   batch 850 | loss 1.6752 | grad 1.6529 | lr 4.19e-06 | GPU 0.79 GB
2026-04-11 19:23:41 | DEBUG    | coda_biattn |   batch 900 | loss 1.3543 | grad 1.6196 | lr 4.21e-06 | GPU 0.79 GB
2026-04-11 19:23:43 | DEBUG    | coda_biattn |   batch 950 | loss 1.8222 | grad 1.6593 | lr 4.24e-06 | GPU 0.79 GB
2026-04-11 19:23:44 | DEBUG    | coda_biattn |   batch 1000 | loss 1.7613 | grad 1.6711 | lr 4.26e-06 | GPU 0.78 GB
2026-04-11 19:23:46 | DEBUG    | coda_biattn |   batch 1050 | loss 1.4483 | grad 1.6770 | lr 4.29e-06 | GPU 0.79 GB
2026-04-11 19:23:48 | DEBUG    | coda_biattn |   batch 1100 | loss 1.5056 | grad 1.6682 | lr 4.32e-06 | GPU 0.79 GB
2026-04-11 19:23:50 | DEBUG    | coda_biattn |   batch 1150 | loss 1.4849 | grad 1.6674 | lr 4.35e-06 | GPU 0.79 GB
2026-04-11 19:23:51 | DEBUG    | coda_biattn |   batch 1200 | loss 1.1908 | grad 1.6033 | lr 4.38e-06 | GPU 0.78 GB
2026-04-11 19:23:53 | DEBUG    | coda_biattn |   batch 1250 | loss 1.7621 | grad 1.6253 | lr 4.41e-06 | GPU 0.79 GB
2026-04-11 19:23:55 | DEBUG    | coda_biattn |   batch 1300 | loss 1.8460 | grad 1.6377 | lr 4.45e-06 | GPU 0.78 GB
2026-04-11 19:23:57 | DEBUG    | coda_biattn |   batch 1350 | loss 1.6611 | grad 1.6528 | lr 4.48e-06 | GPU 0.78 GB
2026-04-11 19:23:59 | DEBUG    | coda_biattn |   batch 1400 | loss 1.8185 | grad 1.6162 | lr 4.52e-06 | GPU 0.78 GB
2026-04-11 19:24:00 | DEBUG    | coda_biattn |   batch 1450 | loss 1.3965 | grad 1.6611 | lr 4.56e-06 | GPU 0.79 GB
2026-04-11 19:24:02 | DEBUG    | coda_biattn |   batch 1500 | loss 1.5020 | grad 1.6700 | lr 4.59e-06 | GPU 0.79 GB
2026-04-11 19:24:04 | DEBUG    | coda_biattn |   batch 1550 | loss 1.4511 | grad 1.6599 | lr 4.63e-06 | GPU 0.78 GB
