2026-04-11 20:49:53 | INFO     | coda_biattn_context | Log file: C:\Users\Meric\Desktop\VKR\Code\results\logs\2026-04-11_20-49-53_coda_biattn_context.log
2026-04-11 20:49:53 | INFO     | coda_biattn_context | ============================================================
2026-04-11 20:49:53 | INFO     | coda_biattn_context | Training: CODA-BIATTN_CONTEXT
2026-04-11 20:49:53 | INFO     | coda_biattn_context | Device: cuda | Seed: 42 | Dry run: False
2026-04-11 20:49:53 | INFO     | coda_biattn_context | Epochs: 30 | Batch: 16 | LR: 1.00e-04
2026-04-11 20:49:53 | INFO     | coda_biattn_context | Freeze BERT: True | Prosodic: True | AMP: True
2026-04-11 20:49:53 | INFO     | coda_biattn_context | ============================================================
2026-04-11 20:49:57 | INFO     | coda_biattn_context | Dataset: 179590 samples
2026-04-11 20:49:57 | INFO     | coda_biattn_context | Train: 159512 | Val: 20078
2026-04-11 20:49:57 | INFO     | coda_biattn_context | Class weights (sqrt_inverse): ['1.140', '1.064', '0.480', '1.316']
2026-04-11 20:50:02 | INFO     | coda_biattn_context | Total params: 181,277,894 | Trainable: 2,970,566
2026-04-11 20:52:20 | DEBUG    | coda_biattn_context |   batch 50 | loss 5.7318 | grad 1.5862 | lr 4.00e-06 | GPU 0.80 GB
2026-04-11 20:52:35 | DEBUG    | coda_biattn_context |   batch 100 | loss 2.8916 | grad 1.5840 | lr 4.00e-06 | GPU 0.81 GB
2026-04-11 20:52:48 | DEBUG    | coda_biattn_context |   batch 150 | loss 1.4338 | grad 1.6101 | lr 4.01e-06 | GPU 0.80 GB
2026-04-11 20:53:02 | DEBUG    | coda_biattn_context |   batch 200 | loss 2.0265 | grad 1.6177 | lr 4.01e-06 | GPU 0.81 GB
2026-04-11 20:53:15 | DEBUG    | coda_biattn_context |   batch 250 | loss 2.2110 | grad 1.6090 | lr 4.02e-06 | GPU 0.81 GB
2026-04-11 20:53:29 | DEBUG    | coda_biattn_context |   batch 300 | loss 1.8668 | grad 1.6418 | lr 4.02e-06 | GPU 0.81 GB
2026-04-11 20:53:43 | DEBUG    | coda_biattn_context |   batch 350 | loss 1.8180 | grad 1.6194 | lr 4.03e-06 | GPU 0.80 GB
2026-04-11 20:53:57 | DEBUG    | coda_biattn_context |   batch 400 | loss 2.0385 | grad 1.5640 | lr 4.04e-06 | GPU 0.80 GB
2026-04-11 20:54:11 | DEBUG    | coda_biattn_context |   batch 450 | loss 2.7614 | grad 1.6077 | lr 4.05e-06 | GPU 0.80 GB
2026-04-11 20:54:25 | DEBUG    | coda_biattn_context |   batch 500 | loss 1.5555 | grad 1.6069 | lr 4.07e-06 | GPU 0.80 GB
2026-04-11 20:54:40 | DEBUG    | coda_biattn_context |   batch 550 | loss 1.4938 | grad 1.5870 | lr 4.08e-06 | GPU 0.80 GB
2026-04-11 20:54:54 | DEBUG    | coda_biattn_context |   batch 600 | loss 2.0716 | grad 1.5764 | lr 4.10e-06 | GPU 0.81 GB
2026-04-11 20:55:08 | DEBUG    | coda_biattn_context |   batch 650 | loss 1.4564 | grad 1.5897 | lr 4.11e-06 | GPU 0.80 GB
2026-04-11 20:55:23 | DEBUG    | coda_biattn_context |   batch 700 | loss 2.1222 | grad 1.6323 | lr 4.13e-06 | GPU 0.80 GB
2026-04-11 20:55:38 | DEBUG    | coda_biattn_context |   batch 750 | loss 2.1466 | grad 1.6111 | lr 4.15e-06 | GPU 0.80 GB
2026-04-11 20:55:51 | DEBUG    | coda_biattn_context |   batch 800 | loss 1.0429 | grad 1.5952 | lr 4.17e-06 | GPU 0.81 GB
2026-04-11 20:56:06 | DEBUG    | coda_biattn_context |   batch 850 | loss 2.7098 | grad 1.6279 | lr 4.19e-06 | GPU 0.80 GB
2026-04-11 20:56:20 | DEBUG    | coda_biattn_context |   batch 900 | loss 1.5863 | grad 1.6389 | lr 4.21e-06 | GPU 0.81 GB
2026-04-11 20:56:28 | DEBUG    | coda_biattn_context |   batch 950 | loss 1.3547 | grad 1.5986 | lr 4.24e-06 | GPU 0.80 GB
2026-04-11 20:56:36 | DEBUG    | coda_biattn_context |   batch 1000 | loss 1.3179 | grad 1.5727 | lr 4.26e-06 | GPU 0.80 GB
2026-04-11 20:56:45 | DEBUG    | coda_biattn_context |   batch 1050 | loss 1.7834 | grad 1.6424 | lr 4.29e-06 | GPU 0.81 GB
2026-04-11 20:56:54 | DEBUG    | coda_biattn_context |   batch 1100 | loss 1.5129 | grad 1.6026 | lr 4.32e-06 | GPU 0.81 GB
2026-04-11 20:57:02 | DEBUG    | coda_biattn_context |   batch 1150 | loss 1.3523 | grad 1.6255 | lr 4.35e-06 | GPU 0.80 GB
2026-04-11 20:57:13 | DEBUG    | coda_biattn_context |   batch 1200 | loss 1.7346 | grad 1.6152 | lr 4.38e-06 | GPU 0.79 GB
2026-04-11 20:57:27 | DEBUG    | coda_biattn_context |   batch 1250 | loss 3.0290 | grad 1.6135 | lr 4.41e-06 | GPU 0.80 GB
2026-04-11 20:57:41 | DEBUG    | coda_biattn_context |   batch 1300 | loss 1.8462 | grad 1.6231 | lr 4.45e-06 | GPU 0.81 GB
2026-04-11 20:57:55 | DEBUG    | coda_biattn_context |   batch 1350 | loss 2.4439 | grad 1.5954 | lr 4.48e-06 | GPU 0.80 GB
2026-04-11 20:58:10 | DEBUG    | coda_biattn_context |   batch 1400 | loss 2.0284 | grad 1.5818 | lr 4.52e-06 | GPU 0.80 GB
2026-04-11 20:58:24 | DEBUG    | coda_biattn_context |   batch 1450 | loss 1.5395 | grad 1.6382 | lr 4.56e-06 | GPU 0.80 GB
2026-04-11 20:58:39 | DEBUG    | coda_biattn_context |   batch 1500 | loss 1.2681 | grad 1.6381 | lr 4.59e-06 | GPU 0.80 GB
2026-04-11 20:58:53 | DEBUG    | coda_biattn_context |   batch 1550 | loss 1.4680 | grad 1.6517 | lr 4.63e-06 | GPU 0.80 GB
