2026-04-12 02:51:31 | INFO     | coda_full | Log file: C:\Users\Meric\Desktop\VKR\Code\results\logs\2026-04-12_02-51-31_coda_full.log
2026-04-12 02:51:31 | INFO     | coda_full | ============================================================
2026-04-12 02:51:31 | INFO     | coda_full | Training: CODA-FULL
2026-04-12 02:51:31 | INFO     | coda_full | Device: cuda | Seed: 42 | Dry run: False
2026-04-12 02:51:31 | INFO     | coda_full | Epochs: 30 | Batch: 16 | LR: 1.00e-04
2026-04-12 02:51:31 | INFO     | coda_full | Freeze BERT: True | Prosodic: True | AMP: True
2026-04-12 02:51:31 | INFO     | coda_full | ============================================================
2026-04-12 02:51:35 | INFO     | coda_full | Dataset: 179590 samples
2026-04-12 02:51:35 | INFO     | coda_full | Train: 159512 | Val: 20078
2026-04-12 02:51:35 | INFO     | coda_full | Class weights (sqrt_inverse): ['1.140', '1.064', '0.480', '1.316']
2026-04-12 02:51:40 | INFO     | coda_full | Total params: 181,278,151 | Trainable: 2,970,823
2026-04-12 02:53:54 | DEBUG    | coda_full |   batch 50 | loss 3.4403 | grad 1.5976 | lr 4.00e-06 | GPU 0.80 GB
2026-04-12 02:54:02 | DEBUG    | coda_full |   batch 100 | loss 4.4234 | grad 1.5778 | lr 4.00e-06 | GPU 0.80 GB
2026-04-12 02:54:10 | DEBUG    | coda_full |   batch 150 | loss 2.5348 | grad 1.6024 | lr 4.01e-06 | GPU 0.80 GB
2026-04-12 02:54:19 | DEBUG    | coda_full |   batch 200 | loss 2.0078 | grad 1.6003 | lr 4.01e-06 | GPU 0.80 GB
2026-04-12 02:54:27 | DEBUG    | coda_full |   batch 250 | loss 2.1387 | grad 1.6498 | lr 4.02e-06 | GPU 0.80 GB
2026-04-12 02:54:35 | DEBUG    | coda_full |   batch 300 | loss 1.2939 | grad 1.6071 | lr 4.02e-06 | GPU 0.81 GB
2026-04-12 02:54:44 | DEBUG    | coda_full |   batch 350 | loss 1.5192 | grad 1.6289 | lr 4.03e-06 | GPU 0.80 GB
2026-04-12 02:54:51 | DEBUG    | coda_full |   batch 400 | loss 1.9187 | grad 1.5886 | lr 4.04e-06 | GPU 0.80 GB
2026-04-12 02:54:59 | DEBUG    | coda_full |   batch 450 | loss 1.7801 | grad 1.5921 | lr 4.05e-06 | GPU 0.80 GB
2026-04-12 02:55:07 | DEBUG    | coda_full |   batch 500 | loss 2.4414 | grad 1.5994 | lr 4.07e-06 | GPU 0.80 GB
2026-04-12 02:55:15 | DEBUG    | coda_full |   batch 550 | loss 1.4323 | grad 1.5711 | lr 4.08e-06 | GPU 0.80 GB
2026-04-12 02:55:24 | DEBUG    | coda_full |   batch 600 | loss 2.1645 | grad 1.5976 | lr 4.10e-06 | GPU 0.81 GB
2026-04-12 02:55:32 | DEBUG    | coda_full |   batch 650 | loss 1.4291 | grad 1.6109 | lr 4.11e-06 | GPU 0.81 GB
2026-04-12 02:55:40 | DEBUG    | coda_full |   batch 700 | loss 2.4506 | grad 1.6275 | lr 4.13e-06 | GPU 0.80 GB
2026-04-12 02:55:48 | DEBUG    | coda_full |   batch 750 | loss 1.6269 | grad 1.5825 | lr 4.15e-06 | GPU 0.81 GB
2026-04-12 02:55:56 | DEBUG    | coda_full |   batch 800 | loss 2.2409 | grad 1.5875 | lr 4.17e-06 | GPU 0.81 GB
2026-04-12 02:56:04 | DEBUG    | coda_full |   batch 850 | loss 0.9455 | grad 1.5942 | lr 4.19e-06 | GPU 0.80 GB
2026-04-12 02:56:12 | DEBUG    | coda_full |   batch 900 | loss 1.6960 | grad 1.6283 | lr 4.21e-06 | GPU 0.80 GB
2026-04-12 02:56:20 | DEBUG    | coda_full |   batch 950 | loss 1.4039 | grad 1.6143 | lr 4.24e-06 | GPU 0.81 GB
2026-04-12 02:56:28 | DEBUG    | coda_full |   batch 1000 | loss 2.2606 | grad 1.6084 | lr 4.26e-06 | GPU 0.80 GB
2026-04-12 02:56:36 | DEBUG    | coda_full |   batch 1050 | loss 2.1669 | grad 1.6093 | lr 4.29e-06 | GPU 0.81 GB
2026-04-12 02:56:44 | DEBUG    | coda_full |   batch 1100 | loss 1.9112 | grad 1.6263 | lr 4.32e-06 | GPU 0.80 GB
2026-04-12 02:56:52 | DEBUG    | coda_full |   batch 1150 | loss 2.4083 | grad 1.6222 | lr 4.35e-06 | GPU 0.80 GB
2026-04-12 02:57:00 | DEBUG    | coda_full |   batch 1200 | loss 1.7839 | grad 1.6118 | lr 4.38e-06 | GPU 0.80 GB
2026-04-12 02:57:08 | DEBUG    | coda_full |   batch 1250 | loss 1.5455 | grad 1.6357 | lr 4.41e-06 | GPU 0.80 GB
